Nickname:toto,Score:918
Nickname:PEPITOPRO,Score:52230
Nickname:mama,Score:665
Nickname:joseluis,Score:609
Nickname:monica,Score:2604
Nickname:roke,Score:544
Nickname:weewewew,Score:1731
Nickname:asdasdada,Score:466
Nickname:toto,Score:1327
Nickname:romero,Score:3607
Nickname:tobias,Score:2399
Nickname:monica2,Score:7928
Nickname:toto,Score:894
Nickname:TOTOPRO,Score:26211
Nickname:xtrtrtrefr,Score:3721
Nickname:pepitonoob,Score:20585
Nickname:tobito,Score:6602
Nickname:emilia,Score:6231
